2017,01,01,1
2017,01,03,1
2017,01,04,1
2017,01,11,1
2017,01,12,1
2017,01,13,1
2017,01,19,1
2017,01,20,1
2017,01,21,1
2017,01,23,1
2017,01,24,1
2017,01,28,1
2017,01,05,2
2017,01,08,2
2017,01,09,2
2017,01,25,2
2017,01,27,2
2017,01,02,3
2017,01,06,3
2017,01,07,3
2017,01,10,3
2017,01,14,3
2017,01,15,3
2017,01,16,3
2017,01,17,3
2017,01,18,3
2017,01,22,3
2017,01,26,3
2017,01,29,3
2017,01,30,3
2017,01,31,3
2017,02,01,1
2017,02,04,1
2017,02,05,1
2017,02,08,1
2017,02,09,1
2017,02,10,1
2017,02,13,1
2017,02,23,1
2017,02,25,1
2017,02,12,2
2017,02,14,2
2017,02,15,2
2017,02,16,2
2017,02,17,2
2017,02,24,2
2017,02,26,2
2017,02,27,2
2017,02,02,3
2017,02,03,3
2017,02,06,3
2017,02,07,3
2017,02,11,3
2017,02,18,3
2017,02,19,3
2017,02,20,3
2017,02,21,3
2017,02,22,3
2017,02,28,3
2017,03,01,1
2017,03,02,1
2017,03,04,1
2017,03,05,1
2017,03,07,1
2017,03,08,1
2017,03,09,1
2017,03,10,1
2017,03,11,1
2017,03,12,1
2017,03,13,1
2017,03,14,1
2017,03,17,1
2017,03,20,1
2017,03,21,1
2017,03,24,1
2017,03,25,1
2017,03,26,1
2017,03,27,1
2017,03,31,1
2017,03,19,1
2017,03,03,2
2017,03,16,2
2017,03,22,2
2017,03,15,2
2017,03,06,3
2017,03,18,3
2017,03,23,3
2017,03,28,3
2017,03,29,3
2017,03,30,3
2017,04,01,1
2017,04,02,1
2017,04,03,1
2017,04,05,1
2017,04,06,1
2017,04,07,1
2017,04,12,1
2017,04,17,1
2017,04,18,1
2017,04,21,1
2017,04,23,1
2017,04,27,1
2017,04,28,1
2017,04,29,1
2017,04,30,1
2017,04,08,2
2017,04,22,2
2017,04,25,2
2017,04,04,2
2017,04,15,2
2017,04,26,2
2017,04,09,3
2017,04,10,3
2017,04,11,3
2017,04,13,3
2017,04,14,3
2017,04,16,3
2017,04,19,3
2017,04,20,3
2017,04,24,3
2017,05,01,1
2017,05,02,1
2017,05,03,1
2017,05,05,1
2017,05,06,1
2017,05,07,1
2017,05,09,1
2017,05,11,1
2017,05,13,1
2017,05,14,1
2017,05,15,1
2017,05,19,1
2017,05,24,1
2017,05,25,1
2017,05,26,1
2017,05,27,1
2017,05,29,1
2017,05,30,1
2017,05,31,1
2017,05,08,1
2017,05,04,3
2017,05,10,3
2017,05,12,3
2017,05,16,3
2017,05,17,3
2017,05,18,3
2017,05,20,3
2017,05,21,3
2017,05,22,3
2017,05,23,3
2017,05,28,3
